Broodstock_ID,Treatment,vcf_ID_raw,ID,Batch_1,Batch_2,Batch_3,Batch_4,key,Ped
1,High,adapter_trim.F2-B1-pH7.bam,F2-B1-pH7,F,M,NA,NA,Pa,Both
2,High,adapter_trim.F2-B2-pH7.bam,F2-B2-pH7,F,M,NA,NA,Pa,Both
3,High,adapter_trim.F2-B3-pH7.bam,F2-B3-pH7,M,NA,NA,NA,Fa,Sire
4,High,adapter_trim.F2-B4-pH7.bam,F2-B4-pH7,M,F,NA,NA,Pa,Both
5,High,adapter_trim.F2-B5-pH7.bam,F2-B5-pH7,NA,NA,M,NA,Fa,Sire
6,High,adapter_trim.F2-B6-pH7.bam,F2-B6-pH7,NA,F,NA,NA,Mo,Dam
7,High,adapter_trim.F2-B7-pH7.bam,F2-B7-pH7,NA,NA,F,NA,Mo,Dam
8,High,adapter_trim.F2-B8-pH7.bam,F2-B8-pH7,NA,NA,NA,M,Fa,Sire
9,High,adapter_trim.F2-B9-pH7.bam,F2-B9-pH7,NA,F,NA,NA,Mo,Dam
10,High,adapter_trim.F2-B10-pH7.bam,F2-B10-pH7,F,NA,M,NA,Pa,Both
12,High,adapter_trim.F2-B12-pH7.bam,F2-B12-pH7,NA,NA,F,NA,Mo,Dam
15,High,adapter_trim.F2-B15-pH7.bam,F2-B15-pH7,NA,NA,NA,F,Mo,Dam
16,High,adapter_trim.F2-B16-pH7.bam,F2-B16-pH7,NA,NA,NA,F,Mo,Dam
18,High,adapter_trim.F2-B18-pH7.bam,F2-B18-pH7,NA,NA,F,NA,Mo,Dam
19,High,adapter_trim.F2-B19-pH7.bam,F2-B19-pH7,NA,NA,NA,F,Mo,Dam
25,High,adapter_trim.F2-B25-pH7.bam,F2-B25-pH7,NA,NA,NA,M,Fa,Sire
1,Moderate,adapter_trim.F2-B1-pH75.bam,F2-B1-pH75,NA,F,M,NA,Pa,Both
2,Moderate,adapter_trim.F2-B2-pH75.bam,F2-B2-pH75,F,NA,NA,NA,Mo,Dam
3,Moderate,adapter_trim.F2-B3-pH75.bam,F2-B3-pH75,NA,NA,NA,F,Mo,Dam
5,Moderate,adapter_trim.F2-B5-pH75.bam,F2-B5-pH75,NA,F,NA,NA,Mo,Dam
6,Moderate,adapter_trim.F2-B6-pH75.bam,F2-B6-pH75,NA,NA,F,NA,Mo,Dam
10,Moderate,adapter_trim.F2-B10-pH75.bam,F2-B10-pH75,NA,NA,M,NA,Fa,Sire
11,Moderate,adapter_trim.F2-B11-pH75.bam,F2-B11-pH75,F,M,NA,NA,Pa,Both
14,Moderate,adapter_trim.F2-B14-pH75.bam,F2-B14-pH75,M,F,NA,NA,Pa,Both
16,Moderate,adapter_trim.F2-B16-pH75.bam,F2-B16-pH75,M,NA,NA,NA,Fa,Sire
17,Moderate,adapter_trim.F2-B17-pH75.bam,F2-B17-pH75,NA,M,F,NA,Pa,Both
19,Moderate,adapter_trim.F2-B19-pH75.bam,F2-B19-pH75,F,NA,NA,M,Pa,Both
21,Moderate,adapter_trim.F2-B21-pH75.bam,F2-B21-pH75,NA,NA,F,NA,Mo,Dam
22,Moderate,adapter_trim.F2-B22-pH75.bam,F2-B22-pH75,NA,NA,NA,M,Fa,Sire
24,Moderate,adapter_trim.F2-B24-pH75.bam,F2-B24-pH75,NA,NA,NA,F,Mo,Dam
25,Moderate,adapter_trim.F2-B25-pH75.bam,F2-B25-pH75,NA,NA,NA,F,Mo,Dam
1,Low,adapter_trim.F2-B1-pH8.bam,F2-B1-pH8,F,NA,NA,NA,Mo,Dam
2,Low,adapter_trim.F2-B2-pH8.bam,F2-B2-pH8,F,NA,NA,M,Pa,Both
3,Low,adapter_trim.F2-B3-pH8.bam,F2-B3-pH8,NA,NA,NA,M,Pa,Both
5,Low,adapter_trim.F2-B5-pH8.bam,F2-B5-pH8,F,NA,NA,NA,Mo,Dam
6,Low,adapter_trim.F2-B6-pH8.bam,F2-B6-pH8,NA,M,NA,F,Pa,Both
7,Low,adapter_trim.F2-B7-pH8.bam,F2-B7-pH8,NA,M,F,NA,Pa,Both
8,Low,adapter_trim.F2-B8-pH8.bam,F2-B8-pH8,NA,NA,M,F,Pa,Both
10,Low,adapter_trim.F2-B10-pH8.bam,F2-B10-pH8,NA,F,NA,NA,Mo,Dam
11,Low,adapter_trim.F2-B11-pH8.bam,F2-B11-pH8,M,NA,NA,NA,Fa,Sire
12,Low,adapter_trim.F2-B12-pH8.bam,F2-B12-pH8,M,NA,F,NA,Pa,Both
13,Low,adapter_trim.F2-B13-pH8.bam,F2-B13-pH8,NA,NA,F,NA,Mo,Dam
15,Low,adapter_trim.F2-B15-pH8.bam,F2-B15-pH8,NA,F,NA,NA,Mo,Dam
16,Low,adapter_trim.F2-B16-pH8.bam,F2-B16-pH8,NA,NA,M,F,Pa,Both
23,Low,adapter_trim.F2-B23-pH8.bam,F2-B23-pH8,NA,F,NA,NA,Mo,Dam
